dataset,split,model,iid_test_mae,iid_test_r2,ood_val_mae,ood_val_r2,ood_test_mae,ood_test_r2,degradation_ratio,val_degradation_ratio,val_test_ratio,is_small_dataset,units
jdft2d,chemsys,coGN,50.55146,0.158423,57.497501,-0.041037,35.007973,0.297267,0.6925,1.1374,1.6424,1,meV/atom
jdft2d,chemsys,coNGN,49.572547,0.115698,56.207521,-0.010166,37.566198,0.179529,0.7578,1.1338,1.4962,1,meV/atom
jdft2d,composition,coGN,50.55146,0.158423,46.035783,0.494921,27.621246,0.450494,0.5464,0.9107,1.6667,1,meV/atom
jdft2d,composition,coNGN,49.572547,0.115698,42.029069,0.533338,32.628511,0.143178,0.6582,0.8478,1.2881,1,meV/atom
jdft2d,crystalsys,coGN,50.55146,0.158423,60.115607,0.121505,75.079442,-0.006898,1.4852,1.1892,0.8007,1,meV/atom
jdft2d,crystalsys,coNGN,49.572547,0.115698,55.169312,0.358713,66.664042,0.056152,1.3448,1.1129,0.8276,1,meV/atom
jdft2d,elements,coGN,50.55146,0.158423,27.806949,0.674038,32.250825,0.344968,0.638,0.5501,0.8622,1,meV/atom
jdft2d,elements,coNGN,49.572547,0.115698,34.79214,0.540207,23.818367,0.390651,0.4805,0.7018,1.4607,1,meV/atom
jdft2d,periodictablegroups,coGN,50.55146,0.158423,24.722007,0.900655,50.213106,-0.028326,0.9933,0.489,0.4923,1,meV/atom
jdft2d,periodictablegroups,coNGN,49.572547,0.115698,26.523947,0.826718,41.963316,0.012065,0.8465,0.5351,0.6321,1,meV/atom
jdft2d,pointgroup,coGN,50.55146,0.158423,31.595775,0.536547,65.83896,0.081247,1.3024,0.625,0.4799,1,meV/atom
jdft2d,pointgroup,coNGN,49.572547,0.115698,24.803269,0.450956,67.668951,0.101965,1.365,0.5003,0.3665,1,meV/atom
jdft2d,sgnum,coGN,50.55146,0.158423,51.491975,-0.079597,33.608626,0.469529,0.6648,1.0186,1.5321,1,meV/atom
jdft2d,sgnum,coNGN,49.572547,0.115698,52.229586,-0.053981,34.401235,0.289336,0.694,1.0536,1.5182,1,meV/atom
log_gvrh,chemsys,coGN,0.074402,0.899086,0.073926,0.908009,0.075281,0.905584,1.0118,0.9936,0.982,0,log(GPa)
log_gvrh,chemsys,coNGN,0.071359,0.901569,0.06911,0.918104,0.06999,0.915496,0.9808,0.9685,0.9874,0,log(GPa)
log_gvrh,composition,coGN,0.074402,0.899086,0.073853,0.902334,0.078002,0.899008,1.0484,0.9926,0.9468,0,log(GPa)
log_gvrh,composition,coNGN,0.071359,0.901569,0.071593,0.903955,0.072312,0.911005,1.0134,1.0033,0.99,0,log(GPa)
log_gvrh,crystalsys,coGN,0.074402,0.899086,0.075991,0.896083,0.087977,0.909212,1.1825,1.0214,0.8638,0,log(GPa)
log_gvrh,crystalsys,coNGN,0.071359,0.901569,0.070759,0.904772,0.076665,0.92935,1.0744,0.9916,0.923,0,log(GPa)
log_gvrh,elements,coGN,0.074402,0.899086,0.075746,0.904934,0.109075,0.84175,1.466,1.0181,0.6944,0,log(GPa)
log_gvrh,elements,coNGN,0.071359,0.901569,0.073125,0.90543,0.099456,0.863402,1.3937,1.0248,0.7353,0,log(GPa)
log_gvrh,periodictablegroups,coGN,0.074402,0.899086,0.074631,0.891624,0.129966,0.713826,1.7468,1.0031,0.5742,0,log(GPa)
log_gvrh,periodictablegroups,coNGN,0.071359,0.901569,0.072864,0.89537,0.111493,0.781675,1.5624,1.0211,0.6535,0,log(GPa)
log_gvrh,pointgroup,coGN,0.074402,0.899086,0.073778,0.90256,0.102744,0.853408,1.3809,0.9916,0.7181,0,log(GPa)
log_gvrh,pointgroup,coNGN,0.071359,0.901569,0.068972,0.912664,0.0901,0.893372,1.2626,0.9666,0.7655,0,log(GPa)
log_gvrh,sgnum,coGN,0.074402,0.899086,0.072817,0.912897,0.10967,0.828055,1.474,0.9787,0.664,0,log(GPa)
log_gvrh,sgnum,coNGN,0.071359,0.901569,0.070292,0.914737,0.099506,0.849963,1.3944,0.985,0.7064,0,log(GPa)
log_kvrh,chemsys,coGN,0.059681,0.895832,0.062327,0.880686,0.057336,0.905968,0.9607,1.0443,1.0871,0,log(GPa)
log_kvrh,chemsys,coNGN,0.05067,0.916012,0.052855,0.901863,0.049152,0.926124,0.97,1.0431,1.0753,0,log(GPa)
log_kvrh,composition,coGN,0.059681,0.895832,0.054673,0.910441,0.060518,0.909547,1.014,0.9161,0.9034,0,log(GPa)
log_kvrh,composition,coNGN,0.05067,0.916012,0.050522,0.907815,0.053202,0.922455,1.05,0.9971,0.9496,0,log(GPa)
log_kvrh,crystalsys,coGN,0.059681,0.895832,0.057743,0.914866,0.065392,0.92173,1.0957,0.9675,0.883,0,log(GPa)
log_kvrh,crystalsys,coNGN,0.05067,0.916012,0.049702,0.925374,0.052487,0.952007,1.0358,0.9809,0.9469,0,log(GPa)
log_kvrh,elements,coGN,0.059681,0.895832,0.066247,0.894345,0.069715,0.868433,1.1681,1.11,0.9503,0,log(GPa)
log_kvrh,elements,coNGN,0.05067,0.916012,0.058475,0.906538,0.06028,0.89537,1.1897,1.154,0.9701,0,log(GPa)
log_kvrh,periodictablegroups,coGN,0.059681,0.895832,0.049349,0.897111,0.158657,0.673967,2.6584,0.8269,0.311,0,log(GPa)
log_kvrh,periodictablegroups,coNGN,0.05067,0.916012,0.043864,0.910403,0.107869,0.83879,2.1289,0.8657,0.4066,0,log(GPa)
log_kvrh,pointgroup,coGN,0.059681,0.895832,0.056488,0.897105,0.068418,0.908586,1.1464,0.9465,0.8256,0,log(GPa)
log_kvrh,pointgroup,coNGN,0.05067,0.916012,0.051348,0.908559,0.056371,0.931801,1.1125,1.0134,0.9109,0,log(GPa)
log_kvrh,sgnum,coGN,0.059681,0.895832,0.052993,0.922854,0.069006,0.900288,1.1563,0.8879,0.768,0,log(GPa)
log_kvrh,sgnum,coNGN,0.05067,0.916012,0.046688,0.933546,0.057463,0.93161,1.1341,0.9214,0.8125,0,log(GPa)
mp_e_form,chemsys,coGN,0.021616,0.997974,0.022243,0.997692,0.023724,0.997322,1.0975,1.029,0.9376,0,eV/atom
mp_e_form,chemsys,coNGN,0.021517,0.997902,0.021917,0.997553,0.023323,0.997343,1.0839,1.0186,0.9397,0,eV/atom
mp_e_form,composition,coGN,0.021616,0.997974,0.021542,0.998106,0.024331,0.997513,1.1256,0.9966,0.8854,0,eV/atom
mp_e_form,composition,coNGN,0.021517,0.997902,0.020957,0.997847,0.022762,0.997579,1.0579,0.974,0.9207,0,eV/atom
mp_e_form,crystalsys,coGN,0.021616,0.997974,0.020178,0.997733,0.048379,0.990422,2.2382,0.9335,0.4171,0,eV/atom
mp_e_form,crystalsys,coNGN,0.021517,0.997902,0.019424,0.998295,0.046727,0.98918,2.1716,0.9027,0.4157,0,eV/atom
mp_e_form,elements,coGN,0.021616,0.997974,0.019521,0.997747,0.059489,0.986001,2.7522,0.9031,0.3281,0,eV/atom
mp_e_form,elements,coNGN,0.021517,0.997902,0.018332,0.997732,0.062246,0.983906,2.8929,0.852,0.2945,0,eV/atom
mp_e_form,periodictablegroups,coGN,0.021616,0.997974,0.021313,0.997302,0.219839,0.921661,10.1704,0.986,0.0969,0,eV/atom
mp_e_form,periodictablegroups,coNGN,0.021517,0.997902,0.021339,0.996612,0.225843,0.913524,10.496,0.9917,0.0945,0,eV/atom
mp_e_form,pointgroup,coGN,0.021616,0.997974,0.021271,0.998116,0.021706,0.99806,1.0042,0.9841,0.9799,0,eV/atom
mp_e_form,pointgroup,coNGN,0.021517,0.997902,0.021675,0.997886,0.021479,0.998068,0.9982,1.0074,1.0092,0,eV/atom
mp_e_form,sgnum,coGN,0.021616,0.997974,0.020769,0.996596,0.057175,0.988028,2.6451,0.9608,0.3633,0,eV/atom
mp_e_form,sgnum,coNGN,0.021517,0.997902,0.019555,0.996861,0.058599,0.982607,2.7234,0.9088,0.3337,0,eV/atom
mp_gap,chemsys,coGN,0.197162,0.911051,0.188378,0.915018,0.228972,0.890676,1.1613,0.9555,0.8227,0,eV
mp_gap,chemsys,coNGN,0.200114,0.903269,0.191327,0.915423,0.224712,0.890903,1.1229,0.9561,0.8514,0,eV
mp_gap,composition,coGN,0.197162,0.911051,0.188594,0.910967,0.233671,0.876399,1.1852,0.9565,0.8071,0,eV
mp_gap,composition,coNGN,0.200114,0.903269,0.194378,0.905593,0.231726,0.872729,1.158,0.9713,0.8388,0,eV
mp_gap,crystalsys,coGN,0.197162,0.911051,0.176005,0.923695,0.328838,0.837355,1.6679,0.8927,0.5352,0,eV
mp_gap,crystalsys,coNGN,0.200114,0.903269,0.169677,0.926909,0.304279,0.846075,1.5205,0.8479,0.5576,0,eV
mp_gap,elements,coGN,0.197162,0.911051,0.181835,0.91982,0.481533,0.714927,2.4423,0.9223,0.3776,0,eV
mp_gap,elements,coNGN,0.200114,0.903269,0.172657,0.927362,0.485509,0.688095,2.4262,0.8628,0.3556,0,eV
mp_gap,periodictablegroups,coGN,0.197162,0.911051,0.196322,0.918271,0.428679,0.576918,2.1743,0.9957,0.458,0,eV
mp_gap,periodictablegroups,coNGN,0.200114,0.903269,0.192439,0.918444,0.485034,0.480211,2.4238,0.9616,0.3968,0,eV
mp_gap,pointgroup,coGN,0.197162,0.911051,0.175267,0.92226,0.31235,0.84209,1.5842,0.8889,0.5611,0,eV
mp_gap,pointgroup,coNGN,0.200114,0.903269,0.176104,0.917667,0.298768,0.848808,1.493,0.88,0.5894,0,eV
mp_gap,sgnum,coGN,0.197162,0.911051,0.179488,0.922494,0.29347,0.842796,1.4885,0.9104,0.6116,0,eV
mp_gap,sgnum,coNGN,0.200114,0.903269,0.185998,0.911771,0.293072,0.838518,1.4645,0.9295,0.6347,0,eV
perovskites,chemsys,coGN,0.02848,0.993779,0.030113,0.992979,0.026911,0.996077,0.9449,1.0573,1.119,0,eV/unit cell
perovskites,chemsys,coNGN,0.030615,0.993146,0.031643,0.993055,0.029472,0.995575,0.9627,1.0336,1.0736,0,eV/unit cell
perovskites,composition,coGN,0.02848,0.993779,0.028943,0.994671,0.030429,0.9923,1.0684,1.0163,0.9512,0,eV/unit cell
perovskites,composition,coNGN,0.030615,0.993146,0.030838,0.993738,0.032059,0.992297,1.0472,1.0073,0.9619,0,eV/unit cell
perovskites,crystalsys,coGN,0.02848,0.993779,0.025342,0.99468,0.088396,0.980394,3.1038,0.8898,0.2867,0,eV/unit cell
perovskites,crystalsys,coNGN,0.030615,0.993146,0.028876,0.992948,0.09113,0.980942,2.9767,0.9432,0.3169,0,eV/unit cell
perovskites,elements,coGN,0.02848,0.993779,0.028543,0.993258,0.358438,0.693902,12.5855,1.0022,0.0796,0,eV/unit cell
perovskites,elements,coNGN,0.030615,0.993146,0.032108,0.992495,0.329953,0.748712,10.7775,1.0488,0.0973,0,eV/unit cell
perovskites,periodictablegroups,coGN,0.02848,0.993779,0.026211,0.995596,0.361012,0.536712,12.6759,0.9203,0.0726,0,eV/unit cell
perovskites,periodictablegroups,coNGN,0.030615,0.993146,0.029618,0.995131,0.338656,0.590009,11.0618,0.9674,0.0875,0,eV/unit cell
perovskites,pointgroup,coGN,0.02848,0.993779,0.030751,0.992353,0.107468,0.936783,3.7734,1.0798,0.2861,0,eV/unit cell
perovskites,pointgroup,coNGN,0.030615,0.993146,0.034369,0.99142,0.102764,0.941455,3.3566,1.1226,0.3344,0,eV/unit cell
perovskites,sgnum,coGN,0.02848,0.993779,0.031187,0.990376,0.098318,0.9485,3.4522,1.095,0.3172,0,eV/unit cell
perovskites,sgnum,coNGN,0.030615,0.993146,0.033566,0.991188,0.090904,0.952966,2.9693,1.0964,0.3692,0,eV/unit cell
phonons,chemsys,coGN,45.245391,0.88488,34.951523,0.986577,43.157951,0.978447,0.9539,0.7725,0.8099,0,cm⁻¹
phonons,chemsys,coNGN,29.169797,0.982417,29.105646,0.987424,36.268473,0.980346,1.2434,0.9978,0.8025,0,cm⁻¹
phonons,composition,coGN,45.245391,0.88488,46.477045,0.937429,46.756843,0.947213,1.0334,1.0272,0.994,0,cm⁻¹
phonons,composition,coNGN,29.169797,0.982417,34.986892,0.974406,44.938164,0.927843,1.5406,1.1994,0.7786,0,cm⁻¹
phonons,crystalsys,coGN,45.245391,0.88488,36.904209,0.961656,58.854988,0.967521,1.3008,0.8156,0.627,0,cm⁻¹
phonons,crystalsys,coNGN,29.169797,0.982417,33.228581,0.971674,58.842958,0.939343,2.0173,1.1391,0.5647,0,cm⁻¹
phonons,elements,coGN,45.245391,0.88488,52.06367,0.968254,95.311294,0.886687,2.1065,1.1507,0.5462,0,cm⁻¹
phonons,elements,coNGN,29.169797,0.982417,44.265445,0.969003,93.140912,0.885201,3.1931,1.5175,0.4753,0,cm⁻¹
phonons,periodictablegroups,coGN,45.245391,0.88488,31.72591,0.986911,78.695379,0.889678,1.7393,0.7012,0.4031,0,cm⁻¹
phonons,periodictablegroups,coNGN,29.169797,0.982417,26.472209,0.98744,70.629516,0.935683,2.4213,0.9075,0.3748,0,cm⁻¹
phonons,pointgroup,coGN,45.245391,0.88488,36.409868,0.982015,55.375511,0.938626,1.2239,0.8047,0.6575,0,cm⁻¹
phonons,pointgroup,coNGN,29.169797,0.982417,31.652211,0.990759,54.922501,0.93086,1.8829,1.0851,0.5763,0,cm⁻¹
phonons,sgnum,coGN,45.245391,0.88488,41.878092,0.979367,49.630663,0.92695,1.0969,0.9256,0.8438,0,cm⁻¹
phonons,sgnum,coNGN,29.169797,0.982417,30.590186,0.988147,49.526237,0.928446,1.6979,1.0487,0.6177,0,cm⁻¹
